2026-06-22 17:04:47,720 - Sikeres szinkronizáció a VPS-re.
2026-09-09 19:45:19,288 - Job "sync_memory (trigger: interval[0:05:00], next run at: 2026-09-09 19:50:19 UTC)" executed successfully
2026-09-09 20:01:46,563 - Run time of job "sync_memory (trigger: interval[0:05:00], next run at: 2026-09-09 20:05:19 UTC)" was missed by 0:01:27.281235
2026-09-09 20:05:19,277 - Running job "sync_memory (trigger: interval[0:05:00], next run at: 2026-09-09 20:10:19 UTC)" (scheduled at 2026-09-09 20:05:19.275398+00:00)
2026-09-09 20:05:19,280 - SSH_PASS környezeti változó hiányzik, szinkronizáció megszakítva.
2026-09-09 20:05:19,280 - Job "sync_memory (trigger: interval[0:05:00], next run at: 2026-09-09 20:10:19 UTC)" executed successfully
2026-09-09 20:18:08,086 - Run time of job "sync_memory (trigger: interval[0:05:00], next run at: 2026-09-09 20:20:19 UTC)" was missed by 0:02:48.804855
2026-09-09 20:20:19,291 - Running job "sync_memory (trigger: interval[0:05:00], next run at: 2026-09-09 20:25:19 UTC)" (scheduled at 2026-09-09 20:20:19.275398+00:00)
2026-09-09 20:20:19,297 - SSH_PASS környezeti változó hiányzik, szinkronizáció megszakítva.
2026-09-09 20:20:19,297 - Job "sync_memory (trigger: interval[0:05:00], next run at: 2026-09-09 20:25:19 UTC)" executed successfully
2026-09-09 20:33:16,530 - Run time of job "sync_memory (trigger: interval[0:05:00], next run at: 2026-09-09 20:35:19 UTC)" was missed by 0:02:57.248014
2026-09-09 20:51:53,202 - Run time of job "sync_memory (trigger: interval[0:05:00], next run at: 2026-09-09 20:55:19 UTC)" was missed by 0:01:33.918123
